run_id,status,error,experiment,trace_id,implementation,dataset,key_file,synthetic,format,key_bytes,max_load,operations_requested,universe_requested,mix,theta,reserve,hit_rate,missing_delete_rate,removed_search_rate,insert_order,seed,repetition,insert_count,insert_mean_ns,insert_p50_ns,insert_p99_ns,delete_count,delete_mean_ns,delete_p50_ns,delete_p99_ns,search_count,search_mean_ns,search_p50_ns,search_p99_ns,wall_time_ns,rotations,final_size,final_height,python,python_implementation,python_compiler,platform,machine
9a0ced859402200f,erro,FileNotFoundError: [Errno 2] No such file or directory: '/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32',escala-1e4,7a5b153e3a1f258c,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,10000,10000,10000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,1,,,,,,,,,,,,,,,,,,,,,
558f0579f2981849,erro,FileNotFoundError: [Errno 2] No such file or directory: '/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32',escala-1e4,7a5b153e3a1f258c,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,10000,10000,10000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,2,,,,,,,,,,,,,,,,,,,,,
849efa0fbefdf2a9,sucesso,,escala-1e3,9e07c455a0456de5,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,1,486,11504,10476,22349,237,8694,8101,15365,277,2877,2864,3912,11803576,493,259,9,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
b6bcef69fbbf81ab,sucesso,,escala-1e3,9e07c455a0456de5,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,2,486,9809,9987,14248,237,7631,7613,19417,277,2669,2444,3772,10150486,493,259,9,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
71facc9f9faa8670,sucesso,,escala-1e3,9e07c455a0456de5,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,3,486,9920,9988,21930,237,7490,7682,11734,277,2540,2444,3283,9991735,493,259,9,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
b972fca60fe8dc2a,sucesso,,escala-1e3,9e07c455a0456de5,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,4,486,9759,9918,21860,237,7621,7612,22489,277,2459,2375,3352,9859244,493,259,9,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
ffd2df15721e9c14,sucesso,,escala-1e3,9e07c455a0456de5,avl,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,5,486,9743,9918,14666,237,7490,7613,17879,277,2534,2444,2934,9958769,493,259,9,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
69c1e7bda25f180e,sucesso,,escala-1e3,9e07c455a0456de5,sorted-list,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,1,486,2849,2863,3771,237,3009,2864,4190,277,2786,2863,3772,5446208,0,259,0,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
f016741fb1598782,sucesso,,escala-1e3,9e07c455a0456de5,sorted-list,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,2,486,2675,2794,3772,237,2964,2864,4260,277,2809,2863,3771,5274328,0,259,0,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
2d5280abc4445cd5,sucesso,,escala-1e3,9e07c455a0456de5,sorted-list,amzn,/home/amanda/Documents/Graduacao/Unipampa/3_semestre/Estrutura de Dados/Avaliações/balanced-search-trees/SOSD/data/books_200M_uint32,,sosd,4,1000,1000,1000,45:25:30,0.99,0.1,0.7,0.05,0.5,sorted,5,3,486,2716,2794,3841,237,2862,2864,3423,277,2779,2794,3842,5263293,0,259,0,3.13.5,CPython,Clang 20.1.4 ,Linux-7.0.0-27-generic-x86_64-with-glibc2.43,x86_64
